sample_id,fastq_1,fastq_2
PI604780,./docs/example_data/SRR17781753_chr1-2_R1.fastq.gz,./docs/example_data/SRR17781753_chr1-2_R2.fastq.gz
PI604779,./docs/example_data/SRR17781754_chr1-2_R1.fastq.gz,./docs/example_data/SRR17781754_chr1-2_R2.fastq.gz
